title,season_id,pub_real_date
魔卡少女樱 CLEAR CARD篇,21421,1515254400
头文字D Fourth Stage,210,1082131200
夏目友人帐 第五季 特别篇,20897,1493136000
头文字D Second Stage,208,939916800
十二国记,2069,1018281600
人形电脑天使心,2061,1017676800
我们这一家 第一期,2038,1019232000
奇诺之旅（2017）,2013,1507219200
小魔女蒙娜,1928,940176000
爱丽丝学园,1921,1099065600
乒乓,192,1397059200
怪医黑杰克,1910,1097424000
鸦KARAS,1857,1117209600
NO GAME NO LIFE 游戏人生,184,1396972800
勇者王GAOGAIGAR,1823,854726400
AIR,1816,1104940800
CANDY BOY,1789,1209657600
马达加斯加的企鹅 第二季,1750,1270396800
马达加斯加的企鹅 第一季,1749,1270396800
幻想嘉年华,1732,1313251200
游☆戏☆王 5D's 第三季,1720,1246377600
游☆戏☆王 5D's 第四季,1719,1263916800
游☆戏☆王 5D's 第二季,1718,1222790400
游☆戏☆王 5D's 第一季,1717,1207065600
攻壳机动队,1702,816624000
四月是你的谎言,1699,1412784000
夏目友人帐 第四季,1663,1325433600
夏目友人帐 第三季,1662,1309708800
夏目友人帐 第二季,1661,1231084800
夏目友人帐,1660,1215360000
宇宙兄弟,1657,1333209600
攻壳机动队 S.A.C. 2nd GIG,1565,1072886400
攻壳机动队 STAND ALONE COMPLEX,1564,1033401600
吹响吧！上低音号,1547,1428336000
我的青春恋爱物语果然有问题。续,1540,1427904000
魔法少女奈叶,1535,1096560000
校园迷糊大王,1446,1097337600
结界师,1405,1160928000
NANA,1382,1144166400
KANON / 雪之少女（京都版）,1375,1159977600
天元突破 红莲螺岩 剧场版,1292,1220630400
英雄时代,1274,1175356800
精灵守护者,1271,1175875200
×××HOLiC,1239,1144252800
海马,1238,1207756800
宝石宠物 Tinkle☆（第二季）,123,1270224000
超智游戏,1205,1223395200
机动战士高达00 第二季,1193,1223136000
CLANNAD ～AFTER STORY～另一个世界 杏篇,1180,1243094400
天体战士 第2期,1160,1254499200
秀逗魔导士 第一季,1112,797184000
狼与香辛料 第二季,1072,1247068800
DARKER THAN BLACK -黑之契约者-,1064,1175702400
交响情人梦,1039,1168444800
KERORO军曹,103,1080921600
梦色蛋糕师,1000,1254585600
花丸幼稚园,982,1263052800
荒川爆笑团2,979,1286035200
荒川爆笑团,978,1270310400
放浪男孩,951,1294848000
LEVEL E,947,1294588800
+TIC模型姐妹,930,1345564800
战国鬼才传,929,1302105600
猫神八百万,904,1310140800
丹特丽安的书架,862,1310659200
GOSICK,856,1294329600
电波女与青春男,846,1302710400
笨蛋，测验，召唤兽,842,1262707200
圣斗士星矢 THE LOST CANVAS 冥王神话,800,1245772800
Fate/Zero 第二季,779,1333728000
TARI TARI,752,1341072000
向阳素描×蜂窝,734,1349366400
向阳素描×☆☆☆,733,1262793600
向阳素描×365,732,1215014400
向阳素描,731,1168444800
食梦者。2,728,1317398400
樱花庄的宠物女孩,687,1349625600
鸭子的生活,676,1365264000
群居姐妹 OVA,6538,1442505600
月色真美 SP,6497,1506441600
鬼灯的冷彻 第二季,6447,1507392000
AKB0048 第二季,644,1357315200
宝石之国,6434,1507305600
AKB0048 第一季,643,1335628800
徒然喜欢你,6312,1499097600
Q弟侦探因幡,628,1357228800
南家三姐妹,620,1191686400
结城友奈是勇者 -鹫尾须美之章-,6075,1489766400
田中君总是如此慵懒 特典,6036,1466697600
机动战士高达 雷霆宙域战线 第一季,6006,1450972800
剑姬神圣谭 在地下城寻求邂逅是否搞错了什么 外传,5980,1492099200
路人女主的养成方法 ♭,5971,1588176000
進擊的巨人 第二季（僅限台灣地區）,5970,1491062400
越狱兔 第5季,5872,1355587200
越狱兔 第3季,5870,1223827200
越狱兔 第2季,5869,1191772800
妖狐×仆SS SP,5859,1326384000
小林家的龙女仆,5800,1484064000
One Room,5798,1484064000
兽娘动物园,5796,1483977600
小魔女学园 TV版,5788,1483891200
幼女戰記（僅限港澳台地區）,5782,1483632000
精灵宝可梦 剧场版5：水都的守护神拉帝亚斯和拉帝欧斯,5755,1026489600
我的女神 战斗之翼,5742,1197043200
我是小甜甜,5600,425836800
宇宙兄弟#0,5571,1613577600
奇异太郎少年的妖怪绘日记,5556,1475596800
怪盗Joker 第四季,5545,1475424000
编舟记,5516,1476288000
刀剑乱舞-花丸-,5515,1475424000
女神异闻录3 剧场版 #4 Winter of Rebirth,5500,1453478400
乌龙派出所特别篇2016：THE FINAL 两津勘吉最后的一天,5499,1474128000
天体的秩序SP,5488,1437667200
闪电十一人 第三季 日语,5468,1223136000
闪电十一人 第二季 日语,5467,1223136000
闪电十一人,5466,1223136000
无头骑士异闻录×2 结 DuFuFuFu!!,5424,1463760000
Da!Da!Da!,5407,954777600
八犬传 -东方八犬异闻- 第二季,529,1373126400
魔神凯撒,5289,1001347200
网球王子,5281,1002643200
八犬传 -东方八犬异闻- 第一季,528,1357315200
战姬绝唱SYMPHOGEAR G,527,1372867200
战姬绝唱SYMPHOGEAR,526,1325779200
剧场版「High☆Speed! -Free! Starting Days-」,5239,1449244800
恋爱情结,5221,1175875200
蔷薇少女,522,1097078400
Free! -Eternal Summer-,5201,1404230400
魁!!库洛马迪高校,5177,1065024000
现视研1,517,1097337600
玉响～hitotose～,514,1317571200
我的妹妹小桃子,5127,1058889600
齐木楠雄的灾难,5069,1468166400
星之梦,5045,1467820800
天真与闪电,5029,1467648000
NEW GAME!,5027,1467734400
第一神拳 Rising,502,1380902400
地狱少女,4996,1128355200
怪医黑杰克21,4922,1144598400
河童之夏,4760,1185552000
枪神剧场版,4686,1272038400
时光钟摆,4600,1332172800
刀剑神域,4452,1341590400
Code Geass 反叛的鲁路修 娜娜莉梦游仙境,4446,1343318400
黄金拼图,443,1373040000
AURA ～魔龙院光牙最后的战斗～,4422,1365782400
南家三姐妹 夏日假期,4398,1375718400
神奇宝贝 起源,4378,1380643200
钻石王牌,4375,1380988800
高达创战者,4374,1381075200
中二病也要谈恋爱！恋,4349,1389110400
四叠半时光机布鲁斯,43166,1666108800
某科学的超电磁炮S,427,1365696000
某科学的超电磁炮,425,1254412800
关于养猫我一直是新手,42406,1663776000
世界末日柴犬为伴,42199,1661788800
顶点!!!!!!!!!!!!!!!,42188,1662134400
德凯奥特曼,42186,1657296000
传颂之物 二人的白皇,42104,1662220800
罗布奥特曼剧场版 决定了！羁绊的水晶,41950,1654012800
钻石王牌 ～Second Season～,4194,1428249600
憨豆先生动画版 第三季,41934,1653926400
憨豆先生动画版 第一季 中文配音,41931,1653926400
米奇妙妙屋 第1季,41919,1659024000
灰色的迷宫,4170,1428768000
前进吧！登山少女,4145,1357056000
间谍过家家,41410,1651248000
变态王子与不笑猫,413,1365782400
普通女高中生要做当地偶像 OVA,4125,1450886400
普通女高中生要做当地偶像,4124,1404316800
信长协奏曲,4118,1405008000
辉夜大小姐想让我告白？ 中配版,40552,1642608000
辉夜大小姐想让我告白 中配版,40550,1640793600
与变成了异世界美少女的好友一起冒险,40516,1641830400
猫和老鼠传奇 第二季,39901,1636905600
猫和老鼠传奇 第一季,39900,1636905600
Q版猫和老鼠 第二季,39790,1636300800
Q版猫和老鼠 第一季,39788,1636300800
勇者王GaoGaiGar Final Grand Glorious Gathering,3958,1113148800
勇者王GaoGaiGar Final,3957,948384000
鲁邦三世：初次交锋,3950,1027612800
鬼灭之刃 游郭篇,39433,1646409600
咒术回战 粤配版,39190,1627833600
测不准的阿波连同学,39180,1648828800
LoveLive 爱与演唱会!超级明星!!,39001,1630080000
哆啦A梦 新·大雄与铁人兵团～振翅吧天使们～,3900,1299254400
歌剧少女！！,38963,1625328000
漂流少年,38958,1626364800
蜡笔小新 超级美味B级美食大逃亡,3895,1366387200
异世界迷宫黑心企业,38934,1625760000
瓦尼塔斯的手记,38924,1627574400
蜡笔小新 超时空！呼风唤雨的我的新娘,3891,1271433600
蜡笔小新 呼风唤雨！光荣烧肉之路,3882,1050681600
蜡笔小新 森林里的暴风雨,3879,956332800
死神少爷与黑女仆,38722,1625328000
柯基和伙伴的日常,38665,1621958400
美少年偵探團（僅限港澳台地區）,38456,1618070400
高斯奥特曼,38403,1617120000
飞跃巅峰! 剧场版,3827,1159632000
水果篮子 最终季,38257,1625846400
忧国的莫里亚蒂 后半,38254,1616860800
灼热卡巴迪,38244,1634572800
向阳素描 沙英・寻 毕业篇,3823,1385481600
入间同学入魔了 第二季,38224,1621008000
关于我转生变成史莱姆这档事 转生史莱姆日记,38221,1619884800
极主夫道,38220,1617811200
高智能方程式：ZERO,3809,765129600
高智能方程式 DOUBLE ONE,3808,720547200
魔法少女奈叶 The MOVIE 2nd A’s,3795,1342195200
工作细胞（中配版）,37889,1613318400
Re：從零開始的異世界生活 第二季 Part2（僅限港澳台地區）,37794,1609862400
