title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,season_id,media_id,link
Ｄｒ．ＳＴＯＮＥ 石纪元,全24话,会员专享,9.7,1,4215248,3389395,575611,648068,1397416,154554679,日本,75589,1,27993,28221387,https://www.bilibili.com/bangumi/play/ss27993
某科学的超电磁炮,全24话,限时免费,9.7,1,7969693,5613695,1204194,868753,12906525,170911734,日本,54240,1,425,425,https://www.bilibili.com/bangumi/play/ss425
龙与虎,全26话,独家,9.7,1,3556319,3556314,723345,736269,5314755,76475104,日本,59403,1,1672,1672,https://www.bilibili.com/bangumi/play/ss1672
五等分的新娘∬,全12话,独家,9.7,1,5217443,4707701,903665,1472532,883203,74203469,日本,34042,1,36166,28231808,https://www.bilibili.com/bangumi/play/ss36166
入间同学入魔了 第二季,全21话,会员专享,9.7,1,3859348,3408462,377956,1280383,487942,94566971,日本,18036,1,38224,28233906,https://www.bilibili.com/bangumi/play/ss38224
花丸幼稚园,全12话,独家,9.7,1,862116,862117,61112,79545,392500,10753267,日本,6060,1,982,982,https://www.bilibili.com/bangumi/play/ss982
荒川爆笑团2,全13话,,9.7,1,1002852,351008,37705,43428,160158,5678151,日本,5552,1,979,979,https://www.bilibili.com/bangumi/play/ss979
荒川爆笑团,全13话,,9.7,1,1002852,945134,72811,92344,254083,11965104,日本,7483,1,978,978,https://www.bilibili.com/bangumi/play/ss978
放浪男孩,全11话,,9.7,1,107498,107498,5014,5255,23189,942184,日本,1373,1,951,951,https://www.bilibili.com/bangumi/play/ss951
LEVEL E,全13话,,9.7,1,158768,158768,6023,5994,39713,2465401,日本,2107,1,947,947,https://www.bilibili.com/bangumi/play/ss947
+TIC模型姐妹,全12话,,9.7,1,484549,484549,22386,29879,28504,5935987,日本,4303,1,930,930,https://www.bilibili.com/bangumi/play/ss930
战国鬼才传,全39话,,9.7,1,15351,15351,1851,1443,37544,763994,日本,287,1,929,929,https://www.bilibili.com/bangumi/play/ss929
猫神八百万,全12话,,9.7,1,487863,483528,15471,28557,44348,3606474,日本,1810,1,904,904,https://www.bilibili.com/bangumi/play/ss904
丹特丽安的书架,全12话,,9.7,1,1034063,1028337,45726,86278,188693,9517575,日本,8609,1,862,862,https://www.bilibili.com/bangumi/play/ss862
GOSICK,全24话,会员专享,9.7,1,1823844,1823843,83685,98874,344026,11763402,日本,22933,1,856,856,https://www.bilibili.com/bangumi/play/ss856
电波女与青春男,全13话,,9.7,1,1472121,1472120,81074,100199,520062,14658723,日本,10535,1,846,846,https://www.bilibili.com/bangumi/play/ss846
笨蛋，测验，召唤兽,全13话,,9.7,1,1924120,1752792,107417,74058,950585,37403095,日本,14322,1,842,842,https://www.bilibili.com/bangumi/play/ss842
圣斗士星矢 THE LOST CANVAS 冥王神话,全26话,,9.7,1,380936,380936,33947,60640,255131,16998375,日本,5222,1,800,800,https://www.bilibili.com/bangumi/play/ss800
Fate/Zero 第二季,全12话,独家,9.7,1,4589817,2485089,319407,340846,5325394,132177022,日本,22079,1,779,779,https://www.bilibili.com/bangumi/play/ss779
TARI TARI,全13话,独家,9.7,1,698096,687447,32111,37004,190422,5583840,日本,5680,1,752,752,https://www.bilibili.com/bangumi/play/ss752
向阳素描×蜂窝,全12话,,9.7,1,135334,30018,2095,3087,9669,239486,日本,432,1,734,734,https://www.bilibili.com/bangumi/play/ss734
向阳素描×☆☆☆,全12话,,9.7,1,135334,25902,1942,3276,10213,246268,日本,364,1,733,733,https://www.bilibili.com/bangumi/play/ss733
向阳素描×365,全14话,,9.7,1,135334,30289,2316,3726,11824,323109,日本,441,1,732,732,https://www.bilibili.com/bangumi/play/ss732
向阳素描,全12话,,9.7,1,135334,111985,3668,6206,13395,625461,日本,726,1,731,731,https://www.bilibili.com/bangumi/play/ss731
食梦者。2,全25话,独家,9.7,1,542748,127467,12336,11308,266048,3711909,日本,2618,1,728,728,https://www.bilibili.com/bangumi/play/ss728
樱花庄的宠物女孩,全24话,会员专享,9.7,1,3910448,3910447,635082,399026,5347583,58859916,日本,55972,1,687,687,https://www.bilibili.com/bangumi/play/ss687
鸭子的生活,全34话,,9.7,1,85718,85718,6041,8952,22088,3260914,日本,751,1,676,676,https://www.bilibili.com/bangumi/play/ss676
群居姐妹 OVA,全1话,,9.7,1,849082,94665,5245,3108,7189,1748360,日本,936,1,6538,7952,https://www.bilibili.com/bangumi/play/ss6538
月色真美 SP,全1话,,9.7,1,3806168,205669,21394,22303,31286,3941092,日本,3130,1,6497,10732,https://www.bilibili.com/bangumi/play/ss6497
鬼灯的冷彻 第二季,全13话,独家,9.7,1,2508905,1423959,70577,53437,586699,41941877,日本,13201,1,6447,6447,https://www.bilibili.com/bangumi/play/ss6447
AKB0048 第二季,全13话,,9.7,1,136230,65026,2140,1636,42708,3179551,日本,702,1,644,644,https://www.bilibili.com/bangumi/play/ss644
宝石之国,全12话,独家,9.7,1,3411395,3411395,245823,216212,1407680,74808093,日本,60803,1,6434,6434,https://www.bilibili.com/bangumi/play/ss6434
AKB0048 第一季,全13话,,9.7,1,136230,124124,5557,8000,104651,4907061,日本,848,1,643,643,https://www.bilibili.com/bangumi/play/ss643
徒然喜欢你,全12话,,9.7,1,5776936,5776938,941655,587645,3018005,159362938,日本,52636,1,6312,6312,https://www.bilibili.com/bangumi/play/ss6312
Q弟侦探因幡,全12话,,9.7,1,586854,586854,24805,42048,121772,6509725,日本,2407,1,628,628,https://www.bilibili.com/bangumi/play/ss628
南家三姐妹,全13话,,9.7,1,760163,626988,24959,20175,300834,9928605,日本,4250,1,620,620,https://www.bilibili.com/bangumi/play/ss620
