title,episodes,mark,score,is_finish,follows,Follows,coins,likes,danmus,views(million),views,area,count,season_id,long_com,short_com,production,乙女,偶像,催泪,冒险,剧情,动作,动画,励志,历史,原创,喜剧,声控,奇幻,小说改,少儿,少女,恋爱,恐怖,惊悚,战斗,推理,搞笑,无,日常,时泪,智斗,机战,架空,校园,歌舞,治愈,泡面,游戏改,漫画改,热血,爱情,特摄,社团,神魔,科幻,穿越,美食,职场,萌系,萝莉,运动,音乐,魔法,year,month,day,season,其他
特利迦奥特曼 泽塔篇（中配）,1,会员专享,8.8,1,0.99 ,9893,1092,4557,2247,1.43,1432494,日本,290,42120,1,93,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,3,18,1,1
鲁邦三世：血之刻印 永远的Mermaid,1,免费,8.8,1,2.97 ,29713,1365,3611,4797,0.63,629281,日本,171,3953,0,38,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,12,2,4,1
理科生坠入情网，故尝试证明。 中配版,12,独家,8.8,1,26.27 ,262716,13954,120607,32102,8.41,8409965,日本,1143,38878,6,314,ZERO-G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,7,15,3,1
泰迦奥特曼,26,会员专享,8.8,1,68.79 ,687851,10266,65926,55311,10,10003034,日本,2939,38422,30,997,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2019,7,6,3,1
赛罗奥特曼 英雄传（中配）,25,会员专享,8.8,1,62.60 ,625965,4065,17455,8016,4.51,4511153,日本,360,38409,1,77,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2017,1,7,1,1
小猪佩奇 第四季 英文版,26,免费,8.8,1,3.69 ,36864,3605,15283,5871,8,7997771,英国,140,37598,0,33,无,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,5,23,2,1
小猪佩奇 第二季 英文版,52,免费,8.8,1,5.83 ,58325,7257,30814,14640,13.99,13987028,英国,239,37596,1,67,无,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,9,4,3,1
黑色残骸,26,免费,8.8,1,24.46 ,244643,14748,5090,186602,9.35,9346081,日本,791,3551,5,288,P.A.WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,4,7,2,1
番剧茶会,20,独家,8.8,0,37.20 ,371992,38993,85802,44499,6.04,6041306,中国大陆,1652,3540,1,517,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,4,7,2,1
宇宙航海王 ABYSS OF HYPERSPACE -亚空的深渊-：剧场版,1,独家,8.8,1,3.19 ,31868,986,3245,1823,0.91,910714,日本,192,3536,0,39,SATELIGHT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2,22,1,0
加速世界 OVA2 加速的顶点,1,免费,8.8,1,8.47 ,84712,3374,2327,36024,1.69,1690060,日本,433,3488,1,87,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1,31,1,1
加速世界 OVA1 银翼的觉醒,1,免费,8.8,1,10.27 ,102722,3104,2347,43273,1.72,1720219,日本,427,3487,3,86,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,9,13,3,1
心灵侦探八云,13,免费,8.8,1,29.47 ,294701,4554,2947,83856,3.07,3072646,日本,618,3484,3,183,BeeTrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,10,3,4,1
兔龟 女高网球部外传,12,独家,8.8,1,4.77 ,47668,1471,1381,5020,0.79,788905,日本,132,3457,0,36,millepensee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,4,12,2,0
